Year,Region,Climate_Condition,Average_Temperature_C,CO2_Emissions_Tons,Traffic_Density_VehiclesPerKm2,Population_Density_PeoplePerKm2,Urbanization_Rate_Percent,Green_Cover_Percent,Climate_Change_Index
2013,Asia,Polar,38.18,486955944.75,7777.24,5636.35,68.84,55.1,0.9882
2004,North America,Temperate,8.85,738800500.44,5544.61,1630.67,99.55,12.17,0.9521
2002,South America,Cold,20.16,866988357.81,6626.69,3106.2,94.4,6.79,0.5633
2022,Asia,Arid,-6.01,626633015.39,3262.87,9000.83,10.39,22.79,0.6989
2010,Asia,Polar,24.16,669384461.8,4838.68,6884.86,89.69,22.51,0.8014
2010,North America,Cold,36.63,127157189.11,6192.67,9859.88,15.98,58.26,0.721
2017,South America,Cold,18.78,945830720.75,4078.86,7672.46,95.77,51.19,0.6998
2014,Africa,Arid,-3.69,133441503.41,2023.81,9420.32,35.36,68.8,0.9586
2011,South America,Polar,19.09,774898264.24,9618.32,2169.72,44.38,51.25,0.5965
2008,Europe,Cold,28.32,265551505.46,5139.1,7717.13,18.25,32.19,0.6363
2009,Africa,Cold,10.32,933659550.56,7352.51,211.97,20.1,50.43,0.8493
2011,Asia,Tropical,33.99,720239579.83,4139.92,6710.89,75.41,69.96,0.6699
2016,Africa,Cold,22.43,754059899.27,3583.56,4698.13,94.99,51.16,0.7329
2005,Asia,Tropical,34.96,219840113.89,4101.28,3474.13,64.97,54.51,0.2342
2006,Asia,Polar,21.18,443596936.66,4121.51,8625.42,74.43,65.99,0.3713
2013,Africa,Polar,-3.44,618195381.39,5464.59,8544.13,78.58,12.39,0.1473
2012,Asia,Polar,5.48,770203644.59,5457.53,232.79,33.65,50.81,0.5058
2007,Asia,Temperate,0.09,104855416.54,4996.68,6098.96,14.07,60.3,0.4557
2009,Europe,Polar,35.44,962402951.14,1391.12,3684.64,10.17,67.03,0.9972
2008,South America,Cold,28.02,890330449.88,4985.95,4162.45,41.56,18.71,0.6112
2017,South America,Arid,23.82,271078241.91,1732.58,8322.09,31.73,37.76,0.7864
2001,Europe,Tropical,5.05,822937482.79,1305.05,3105.3,15.61,49.24,0.334
2004,Africa,Temperate,-0.8,518805599.12,9329.82,9431.06,26.16,21.09,0.8315
2004,North America,Polar,27.82,462344675.08,6069.25,1804.54,21.2,44.03,0.6151
2005,North America,Polar,13.71,315119671.71,6611.93,6630.6,92.34,21.74,0.697
2018,North America,Arid,1.29,581387618.04,4047.85,6724.33,22.62,26.67,0.2944
2007,Europe,Arid,20.83,730159228.59,9094.36,2529.43,58.39,33.7,0.5486
2015,Europe,Temperate,-7.98,411521972.06,6397.41,3254.26,63.38,39.4,0.634
2012,Asia,Tropical,6.31,629589973.82,7703.24,8349.64,58.91,34.21,0.5891
2000,North America,Polar,13.43,699613608.23,3717.2,7620.43,18.92,37.06,0.9152
2021,Africa,Temperate,-2.6,711410695.2,9602.12,3297.67,38.69,24.41,0.8983
2019,Africa,Cold,39.23,52914132.03,8213.59,5344.23,14.61,15.33,0.971
2016,North America,Cold,0.45,859888057.88,8546.79,626.19,45.61,8.08,0.6674
2006,North America,Temperate,-3.48,458795061.45,1763.33,2095.37,26.97,17.74,0.9719
2024,North America,Polar,0.18,263153665.61,2746.08,4863.35,60.55,42.83,0.8325
2012,Europe,Temperate,28.45,242522742.97,2891.98,868.88,72.35,56.1,0.2708
2003,Europe,Polar,11.28,483531098.73,2745.55,8434.89,57.89,16.0,0.4274
2003,Europe,Arid,18.27,886944707.93,8561.31,7182.88,49.08,12.06,0.2384
2005,South America,Temperate,-8.95,378969234.1,367.25,9436.9,44.86,53.7,0.0042
2018,Africa,Polar,-8.28,749976021.04,807.19,6937.73,85.75,24.84,0.188
2011,Africa,Temperate,12.29,97721912.26,2775.45,9404.61,29.74,66.85,0.0041
2021,Asia,Temperate,30.83,476580645.45,2038.74,5549.58,76.08,51.43,0.7198
2006,Europe,Polar,34.26,991694454.25,2357.0,6006.18,78.17,26.24,0.4255
2009,South America,Polar,-5.66,770667364.99,7989.53,9769.94,47.73,23.82,0.3126
2018,South America,Tropical,16.92,211317959.95,5653.11,6424.87,36.76,39.04,0.7617
2006,Africa,Temperate,35.66,501940032.22,107.42,317.56,52.35,10.14,0.8325
2002,Europe,Cold,9.4,234391138.88,4321.76,7240.79,18.39,12.65,0.9753
2012,Asia,Temperate,31.48,410151366.34,4108.46,9055.63,14.13,16.43,0.642
2012,Europe,Temperate,-3.32,780303939.71,1183.76,7957.85,20.04,55.36,0.4615
2017,North America,Polar,36.77,771453590.48,6777.61,5842.49,26.84,38.4,0.3053
2019,Europe,Temperate,27.57,228872277.52,7035.87,6716.32,55.38,5.69,0.2223
2007,North America,Temperate,37.07,922301094.84,7222.89,9902.02,86.42,48.78,0.2129
2008,North America,Cold,23.83,592975614.58,7298.29,915.71,31.21,32.54,0.4092
2006,Asia,Polar,8.17,380544366.67,50.53,6675.78,94.16,38.21,0.9918
2000,Africa,Temperate,36.91,502433645.2,9541.51,2841.14,95.94,18.92,0.0009
2002,Europe,Arid,3.78,605466182.18,8151.38,6404.5,96.3,40.87,0.1972
2012,North America,Tropical,6.61,560330641.31,9044.62,6080.16,85.38,68.64,0.1884
2024,Europe,Cold,25.04,486918630.5,205.65,1543.03,42.74,9.77,0.7171
2016,Africa,Temperate,28.27,505427871.29,9341.9,2075.4,16.54,23.45,0.3525
2024,Africa,Arid,36.47,177235498.52,8107.4,6220.08,61.19,20.79,0.4573
2023,South America,Temperate,0.24,812920171.4,8380.33,1291.02,60.28,21.16,0.1486
2000,Africa,Temperate,29.9,542218559.62,978.21,2659.16,86.5,29.62,0.405
2005,Asia,Polar,26.93,131948781.84,7400.84,8354.1,99.64,58.18,0.1032
2020,North America,Polar,-6.81,766390944.48,9601.17,3277.64,55.73,64.34,0.533
2005,South America,Polar,9.36,932511534.4,6801.55,4885.72,41.07,18.14,0.0979
2011,Asia,Arid,4.14,947359592.34,5727.09,9411.99,26.73,40.29,0.7905
2012,Europe,Temperate,5.22,369648714.68,9459.02,2279.22,10.43,46.4,0.5666
2012,North America,Tropical,39.15,136381356.69,4457.22,3902.36,55.82,38.92,0.724
2014,Africa,Cold,22.14,518881227.01,6012.97,6068.51,60.0,33.21,0.4185
2020,North America,Polar,25.88,113496620.12,4789.57,7555.84,84.24,17.48,0.3815
2015,Europe,Polar,38.83,934053431.09,9331.82,9017.52,55.41,36.73,0.0982
2021,South America,Temperate,8.86,184396047.73,807.04,9155.58,92.48,31.08,0.5239
2020,South America,Temperate,30.09,253513094.09,5036.14,7768.63,66.53,56.71,0.5145
2010,South America,Arid,11.73,407229890.36,6885.18,2291.03,85.63,54.63,0.4681
2004,Africa,Arid,33.48,383781304.09,7929.47,257.85,23.35,13.71,0.7405
2003,Asia,Polar,-0.97,794868229.51,5851.04,3843.9,86.98,10.75,0.8325
2002,Asia,Temperate,37.38,456860503.73,9093.73,1424.07,70.76,64.03,0.7508
2018,North America,Tropical,0.94,171597491.74,9422.81,7106.77,25.32,39.81,0.1439
2019,Africa,Cold,6.31,267942685.59,689.98,6614.69,27.08,60.76,0.6221
2024,South America,Temperate,27.81,509604271.8,4053.59,449.28,93.39,8.78,0.0803
2017,South America,Temperate,9.69,148306463.51,283.42,8367.57,12.9,39.22,0.6946
2014,Europe,Arid,20.41,612044019.97,3327.7,2494.95,51.63,40.06,0.3818
2008,Europe,Cold,12.23,566181559.24,5391.84,4327.95,38.21,60.95,0.1325
2016,South America,Polar,27.12,714987614.07,9112.41,6682.66,69.86,11.34,0.8621
2013,South America,Temperate,1.42,937766910.76,8473.22,4299.89,85.57,20.63,0.614
2014,Africa,Polar,-7.08,912342306.54,1318.62,4418.47,42.43,31.42,0.3547
2000,Asia,Temperate,5.0,946129542.45,975.65,665.62,48.42,61.28,0.0307
2020,Europe,Polar,13.72,245470881.43,5913.21,4020.42,98.37,66.03,0.5373
2021,Asia,Cold,-1.6,132433741.33,5344.57,7650.83,80.55,69.53,0.9232
2021,Africa,Arid,7.74,302974423.8,2700.46,9152.61,90.75,67.35,0.5964
2002,South America,Cold,10.0,895190087.59,8999.56,4140.84,49.49,5.39,0.9717
2015,Asia,Tropical,-7.13,972081421.15,9277.3,4241.62,31.07,8.1,0.1365
2022,South America,Arid,19.17,859465626.12,4055.98,7029.24,47.07,14.59,0.5683
2024,South America,Cold,34.22,110907703.41,8908.51,9428.29,74.45,27.68,0.7981
2010,North America,Tropical,-2.41,947480570.06,3870.29,2677.94,19.85,58.94,0.5255
2011,Asia,Temperate,19.89,423934669.32,7381.33,4407.04,34.34,63.02,0.0911
2009,Asia,Temperate,23.24,10300980.47,4785.63,7961.77,14.2,17.14,0.5829
2015,South America,Polar,10.97,442951347.01,1269.7,6100.84,48.91,45.28,0.6117
2007,Africa,Arid,25.05,47023100.51,9282.95,1114.76,84.47,64.63,0.7287
2005,North America,Temperate,10.54,544334043.24,4568.26,6281.05,12.22,35.14,0.7612
2011,South America,Arid,15.23,339215473.41,7358.15,1875.6,70.78,11.73,0.7708
2023,Europe,Temperate,-9.63,473961498.66,3703.38,5107.06,93.92,34.76,0.6634
2020,Europe,Polar,24.59,613557190.38,237.86,5295.74,31.32,29.43,0.2158
2007,North America,Cold,23.07,868932294.72,1050.28,8763.27,72.43,42.55,0.4042
2003,Africa,Polar,-8.08,662239674.9,4987.38,4630.32,97.76,33.51,0.7761
2007,South America,Tropical,8.41,434614819.61,6915.15,2801.63,96.61,6.13,0.9534
2017,Asia,Temperate,38.95,819608425.82,3380.62,2317.35,31.14,69.61,0.0789
2004,North America,Tropical,11.04,905676555.44,6970.11,8743.78,19.03,40.33,0.5355
2008,Africa,Tropical,15.1,120640206.47,7001.42,1718.4,23.35,35.79,0.3125
2003,Asia,Arid,35.5,532401044.58,7054.16,4264.43,73.18,67.05,0.2254
2021,Europe,Temperate,25.86,285227447.78,4950.59,1879.86,75.32,15.13,0.5058
2016,Europe,Tropical,19.1,48014136.68,9153.12,7735.31,70.68,17.3,0.6061
2008,Asia,Cold,29.89,668878148.42,4917.51,4748.98,40.25,57.52,0.0098
2000,North America,Tropical,33.22,862908006.68,4530.14,3517.93,25.28,21.95,0.7802
2020,Europe,Cold,12.84,163739751.82,2033.84,3617.39,62.27,56.95,0.8199
2019,South America,Arid,13.76,812601243.97,3111.17,8523.62,53.53,22.65,0.9655
2012,Asia,Tropical,9.3,853542337.8,471.23,5542.2,75.6,7.16,0.1806
2015,Asia,Polar,38.34,914426102.22,6353.68,7181.5,49.72,38.61,0.5946
2012,Europe,Arid,24.86,266019804.0,2522.93,8971.41,40.48,17.78,0.4266
2013,North America,Cold,-5.84,904049112.12,3076.34,9018.4,36.41,54.26,0.3348
2002,South America,Arid,33.15,321342091.98,7719.6,3291.81,29.03,46.68,0.5656
2005,North America,Tropical,14.03,552785675.44,3305.85,9524.99,33.92,65.03,0.7824
2017,Africa,Temperate,-6.56,51456963.36,2459.85,258.51,18.53,55.89,0.0231
2018,Africa,Temperate,17.49,44837207.28,1732.12,3774.59,41.22,16.75,0.9694
2004,Europe,Cold,10.86,720652839.52,7759.84,8959.03,13.29,57.01,0.8099
2014,Europe,Cold,33.89,445035498.0,1340.58,2753.62,26.78,46.71,0.7512
2024,Europe,Temperate,0.2,257036082.99,4564.85,2738.08,77.21,48.48,0.7604
2001,Africa,Cold,31.32,191223082.53,5093.95,3033.2,39.29,59.1,0.3891
2009,North America,Arid,17.88,670283537.37,6889.53,6127.01,70.14,42.3,0.7516
2023,North America,Polar,-7.27,1401142.48,6351.17,4388.94,74.52,35.29,0.3868
2017,Europe,Polar,38.59,806085278.03,8116.67,7270.08,62.31,46.38,0.8987
2012,South America,Arid,15.63,80170356.52,495.28,8950.16,96.28,24.37,0.1772
2004,North America,Polar,4.54,192298125.29,2999.59,6745.25,11.93,16.87,0.2923
2022,Africa,Tropical,13.47,386850158.9,2837.33,2052.62,76.48,45.08,0.5513
2023,Asia,Arid,32.89,485373880.98,1502.87,9327.49,96.29,20.2,0.3192
2000,Asia,Cold,5.25,355640120.7,2927.32,2652.28,87.6,10.19,0.4242
2021,Asia,Arid,-0.37,321391452.82,3132.16,1507.44,25.11,5.04,0.4924
2000,South America,Temperate,-3.55,963952096.06,5242.75,908.77,39.41,44.54,0.8564
2017,Europe,Cold,4.89,641938101.56,6653.86,5638.2,25.52,28.54,0.5232
2014,Africa,Temperate,29.0,24409522.41,3841.95,1146.49,64.12,53.9,0.3625
2016,South America,Cold,13.58,430745732.54,7208.73,1396.37,74.1,29.39,0.2477
2010,Africa,Polar,1.37,875133691.04,3394.85,3007.3,38.54,36.59,0.4087
2020,Africa,Arid,-1.69,302154730.22,2938.32,2823.71,58.56,31.46,0.5157
2024,Europe,Tropical,6.64,95461788.43,5434.82,6046.35,72.18,47.29,0.7461
2021,Asia,Cold,37.0,758626386.82,285.98,8169.29,47.92,28.15,0.121
2016,Europe,Cold,7.15,606407818.1,843.9,7615.88,86.86,67.64,0.2216
2012,South America,Temperate,39.41,570742195.32,4208.8,2632.22,79.44,65.85,0.3797
2000,South America,Polar,14.26,54522983.05,9431.98,2460.65,15.82,60.12,0.3604
2001,South America,Temperate,-1.04,141358510.79,7229.04,9658.26,65.9,64.82,0.3917
2008,Europe,Temperate,34.56,622926846.82,926.86,92.28,31.18,34.19,0.7935
2002,Africa,Polar,13.02,208616017.62,8470.86,8798.41,60.18,39.87,0.3242
2000,Africa,Tropical,25.48,504566009.67,7336.39,2005.29,96.12,53.24,0.5019
2020,North America,Temperate,39.19,545336804.34,6128.92,9473.37,89.12,50.25,0.6239
2015,South America,Temperate,-7.49,284223683.08,8211.91,3429.65,46.41,62.89,0.2322
2022,Africa,Cold,-5.17,948476730.39,4070.89,4409.11,36.24,51.56,0.7187
2005,North America,Polar,26.02,842621642.73,2253.94,7074.13,31.1,69.86,0.5471
2016,Africa,Arid,4.09,722651134.13,5144.63,5880.81,57.93,27.65,0.4468
2004,South America,Tropical,-0.78,78915872.54,5510.98,3186.21,20.28,59.14,0.8098
2004,Asia,Tropical,-8.03,107023889.29,5406.35,5542.77,59.43,50.35,0.2435
2005,South America,Polar,-8.91,493288564.52,5672.48,7309.76,10.12,49.94,0.8832
2002,Europe,Cold,28.72,161552635.84,9489.61,432.93,39.15,26.18,0.561
2020,Africa,Cold,-3.28,978287198.07,9027.34,121.88,29.79,56.06,0.6092
2022,Africa,Polar,13.39,159361713.79,8763.38,4586.09,97.41,63.52,0.8751
2004,Europe,Cold,20.29,487980367.63,8024.1,1327.05,75.45,19.21,0.8176
2020,Europe,Tropical,11.42,364756935.78,9437.11,6646.8,41.47,45.66,0.6016
2004,Asia,Tropical,-8.64,639747035.03,1030.02,2148.38,18.36,30.49,0.7532
2009,Africa,Arid,29.18,129907372.48,2687.98,4334.18,56.51,69.32,0.4333
2009,Africa,Polar,-9.47,430886111.61,4975.81,1984.73,29.21,36.12,0.5474
2018,Asia,Temperate,28.09,275430327.77,8473.02,5489.35,58.28,19.84,0.0621
2016,North America,Temperate,34.67,887863773.15,5076.4,1169.37,85.18,29.82,0.0899
2020,Asia,Arid,11.64,41545126.42,7492.95,240.84,65.42,47.5,0.8294
2013,South America,Arid,16.78,913813766.51,1432.65,520.81,67.04,9.95,0.0597
2008,Africa,Cold,13.85,833161144.41,2561.52,9543.04,58.69,44.23,0.1694
2013,Europe,Arid,9.46,298273145.72,7331.17,1431.44,93.45,65.53,0.7958
2000,South America,Arid,34.37,789501364.02,1689.1,7087.7,93.87,60.27,0.0011
2018,Africa,Temperate,34.7,32182346.78,3545.99,688.58,56.15,9.4,0.2824
2012,Asia,Cold,6.79,966898684.74,2685.42,1090.52,37.52,69.57,0.584
2012,South America,Arid,20.75,527068347.65,3531.12,5093.67,51.36,50.42,0.5954
2003,Africa,Arid,36.35,303977745.04,7097.82,4654.06,26.79,15.55,0.7772
2000,North America,Cold,38.1,363220629.38,3710.08,9516.29,67.27,5.81,0.5059
2016,North America,Polar,15.45,67338948.11,5574.87,9448.91,55.01,16.13,0.5094
2007,Europe,Cold,12.64,989360164.53,1044.32,7798.29,19.3,59.48,0.7253
2001,Africa,Temperate,3.93,40252653.21,8059.93,6025.0,27.79,6.41,0.4986
2007,North America,Polar,37.94,655252216.02,3730.39,4555.05,53.17,20.15,0.6085
2006,Asia,Tropical,-2.86,443293191.78,6502.91,3568.22,89.88,54.22,0.8978
2001,Africa,Cold,18.99,948967301.97,7267.63,9471.4,60.98,43.1,0.4015
2021,Asia,Temperate,4.13,246753740.57,2136.13,6033.06,71.34,55.88,0.3851
2021,Asia,Polar,3.95,532554737.11,8852.52,5794.93,40.51,53.5,0.0035
2002,North America,Cold,10.25,482873852.37,6181.43,2326.69,61.43,8.29,0.6134
2017,Africa,Arid,39.94,703163577.61,4315.82,476.51,50.26,63.01,0.0298
2011,South America,Cold,-7.25,68942221.72,1864.24,9452.43,69.32,19.76,0.5041
2000,North America,Tropical,18.93,194595340.89,9425.89,3144.22,14.55,40.97,0.8042
2021,North America,Cold,-5.87,215350255.27,7562.93,4431.46,54.4,46.88,0.5499
2011,Africa,Polar,-2.27,738412604.09,2119.84,1155.25,36.64,15.96,0.2696
2004,Africa,Polar,11.98,189949557.63,3410.22,8370.87,39.36,68.46,0.7862
2024,Asia,Cold,15.52,573918272.13,8106.26,286.04,96.48,36.73,0.2697
2016,Africa,Polar,2.94,216028576.68,6971.99,8341.57,26.44,8.75,0.733
2015,Asia,Arid,5.82,861763325.13,7669.55,1411.45,38.01,65.92,0.6103
2014,North America,Cold,-5.65,942243269.04,4439.95,8866.78,55.89,43.11,0.17
2022,Europe,Arid,5.16,518974481.97,7178.94,7300.43,87.67,50.45,0.9051
2014,South America,Arid,38.33,352956575.32,3895.61,1655.06,47.5,39.14,0.2006
2004,North America,Temperate,37.24,234823717.24,2152.07,5662.52,76.95,59.26,0.9896
2020,Africa,Cold,6.74,50731220.52,6345.14,3133.44,87.07,7.15,0.0073
2013,South America,Polar,18.54,269231576.12,9761.34,1790.55,37.9,22.44,0.2635
2001,Europe,Arid,35.48,654581544.17,3140.48,8593.23,45.35,35.53,0.1999
2010,Europe,Temperate,-9.69,534083314.38,4636.65,4041.19,42.09,9.98,0.014
2018,Asia,Cold,30.53,944097237.0,6756.31,3991.45,84.96,50.88,0.7324
2006,South America,Cold,37.42,396880985.23,5437.99,1707.17,13.99,30.59,0.6934
2005,Asia,Tropical,-5.43,694169478.99,8442.11,3836.83,37.76,22.72,0.7924
2001,North America,Tropical,-1.93,489833424.73,7629.34,8717.45,71.15,5.22,0.2567
2005,South America,Arid,38.04,513063639.71,630.06,3637.66,60.89,51.79,0.4443
2017,North America,Tropical,16.88,268506540.29,9984.29,9516.52,49.27,59.2,0.6591
2001,Asia,Arid,-9.29,455495826.07,7536.4,9463.63,58.6,30.68,0.4398
2017,South America,Polar,2.88,471314212.02,8645.84,1457.54,27.78,41.67,0.6973
2014,Asia,Arid,12.5,706935879.23,6529.42,1781.34,48.76,19.8,0.634
2018,South America,Tropical,24.65,940699359.19,8570.04,8628.11,55.15,45.44,0.1146
2001,Asia,Polar,26.66,329991956.21,1168.21,3933.68,91.11,5.79,0.781
2019,Europe,Tropical,39.77,43158268.11,3509.99,53.7,33.48,36.76,0.7207
2024,Asia,Arid,4.38,496798830.38,8770.39,2745.98,88.1,46.87,0.6558
2005,Europe,Temperate,16.91,544916870.82,2056.47,5980.31,67.98,64.68,0.1551
2000,Asia,Cold,16.67,169272110.58,828.51,7994.67,11.83,29.79,0.268
2023,South America,Tropical,10.28,760704141.67,7891.78,1342.55,75.22,54.74,0.3932
2014,South America,Arid,-1.54,984944179.33,8363.09,1114.31,13.2,43.85,0.2799
2022,South America,Polar,38.87,945828942.29,1668.39,9221.71,99.76,65.26,0.2278
2009,Africa,Tropical,32.67,197908932.78,8550.74,7513.97,88.54,30.89,0.8054
2018,North America,Tropical,14.92,875487876.66,6883.34,5901.9,36.76,25.74,0.6382
2016,South America,Cold,20.16,704789142.78,5224.82,7694.18,33.17,62.66,0.5655
2004,Europe,Arid,1.36,454392717.24,8310.99,4294.26,44.33,8.2,0.226
2003,South America,Temperate,17.19,541070383.33,4221.53,7586.97,42.06,13.87,0.9181
2009,Africa,Polar,24.75,849750574.81,1980.24,3724.31,43.51,10.36,0.1912
2023,Europe,Arid,15.76,480654804.7,2884.28,2448.5,38.64,59.8,0.795
2016,Africa,Polar,39.51,373834161.74,5076.38,7292.84,65.9,5.69,0.9667
2009,Europe,Tropical,20.57,493754245.53,5336.74,4202.53,24.78,61.01,0.7271
2016,Asia,Cold,8.55,579550674.23,8065.53,9813.96,86.14,34.33,0.9929
2019,North America,Cold,28.61,189888576.12,7923.96,3501.36,83.12,5.26,0.6511
2023,North America,Temperate,-1.48,901006822.54,5834.6,9218.06,52.88,31.11,0.2175
2004,Africa,Cold,9.23,674512761.88,7818.82,9330.3,86.75,17.14,0.2038
2001,North America,Tropical,7.35,633635648.42,1958.15,2426.11,32.24,45.59,0.3246
2005,Africa,Temperate,11.59,100396729.95,548.14,7984.23,11.58,49.16,0.0071
2020,Africa,Arid,29.09,604569764.23,8742.66,4336.41,65.73,36.69,0.6817
2001,Africa,Cold,14.21,121839701.58,801.77,9176.07,51.21,7.63,0.2687
2012,North America,Temperate,29.7,79618977.52,2504.55,4506.74,61.04,47.65,0.8152
2010,Africa,Tropical,18.82,527783584.75,6968.42,7445.59,90.94,59.73,0.3592
2010,North America,Polar,7.1,403382748.51,4124.01,4675.0,97.29,51.82,0.48
2015,Africa,Polar,30.5,589221459.89,8769.32,2285.73,67.1,58.95,0.9657
2010,South America,Tropical,1.91,90132945.89,3014.9,2001.51,78.77,18.03,0.2422
2018,Africa,Tropical,1.22,431552079.78,168.12,4260.06,17.54,62.78,0.7213
2014,Europe,Polar,15.23,175611928.33,3041.52,7557.39,24.46,25.94,0.7551
2024,Africa,Temperate,3.04,987112985.84,5801.85,6054.66,75.99,5.87,0.221
2022,Asia,Polar,-9.55,561589062.22,3790.59,6889.41,48.82,59.82,0.501
2022,Africa,Tropical,22.41,687749424.08,5371.98,2830.44,50.14,66.22,0.3502
2015,Europe,Cold,15.55,326092862.4,8772.15,4819.54,37.77,47.61,0.7719
2010,Europe,Arid,12.28,95644175.86,9129.23,453.51,64.66,20.04,0.6225
2021,North America,Cold,38.35,975894991.92,2696.44,8177.15,26.66,21.36,0.476
2015,South America,Cold,18.56,286972776.35,4648.3,9899.02,66.42,35.33,0.7794
2007,Africa,Tropical,33.17,424384376.99,5513.98,4074.72,25.64,63.36,0.2352
2003,North America,Polar,-3.03,650214057.78,9493.67,119.53,15.74,14.72,0.7536
2007,South America,Temperate,18.46,25672600.39,9986.24,1706.23,39.73,58.69,0.8654
2003,Africa,Cold,33.4,810448871.39,2392.3,6528.74,30.8,23.93,0.8786
2023,Asia,Polar,19.16,537041611.84,7283.45,6124.67,90.01,57.56,0.7837
2024,Africa,Temperate,25.9,278938969.88,3811.41,7880.77,14.95,64.82,0.408
2002,Europe,Cold,8.6,62546377.31,130.68,2546.3,25.9,32.79,0.9818
2002,Europe,Temperate,-5.38,163335917.06,142.06,7638.68,59.38,28.73,0.3796
2017,Asia,Polar,12.9,895138824.99,4632.63,6882.96,53.3,57.14,0.6386
2018,North America,Arid,9.72,686338199.71,4908.93,3234.92,14.13,39.42,0.1611
2018,South America,Polar,33.35,250651819.92,274.57,5459.43,10.65,49.49,0.9804
2020,Africa,Tropical,2.2,66535164.18,6884.93,1481.27,98.93,45.48,0.704
2004,Europe,Temperate,38.34,690924697.07,2975.33,4531.12,69.3,14.94,0.7534
2017,North America,Arid,37.91,572835318.24,5620.94,8813.16,42.89,59.91,0.0658
2009,Asia,Temperate,2.38,405115004.93,3044.14,4217.7,52.34,17.73,0.7634
2021,Europe,Temperate,7.4,364247837.74,1712.99,8397.27,33.99,65.6,0.7747
2020,Asia,Cold,34.78,217597461.65,4101.38,5906.63,41.04,21.29,0.6718
2005,Africa,Tropical,38.33,669941645.28,2361.12,1926.85,68.41,52.7,0.2919
2000,South America,Temperate,12.17,970697359.77,5371.27,5815.25,89.45,23.5,0.4897
2004,Europe,Polar,6.05,176539530.59,2028.34,5064.77,26.57,25.66,0.1104
2008,Europe,Polar,16.3,597519503.4,5108.64,3992.43,85.63,25.15,0.4716
2011,Africa,Cold,24.39,424760870.69,1615.92,1205.11,20.94,53.61,0.2438
2013,North America,Tropical,3.67,447242033.02,6726.2,4172.92,29.35,41.19,0.3491
2001,South America,Tropical,26.82,254893132.85,7551.68,736.9,13.35,62.39,0.1626
2016,Europe,Polar,-7.42,825309740.79,1148.42,996.7,22.67,24.98,0.2301
2013,South America,Arid,-7.54,485770348.54,4704.63,4165.01,92.56,49.98,0.0766
2012,Europe,Cold,9.31,543862446.35,755.17,3060.76,51.35,53.94,0.9199
2008,South America,Cold,7.67,305456151.88,6001.92,9256.19,16.99,14.85,0.5304
2024,Asia,Polar,5.78,182626657.2,2680.82,3763.3,96.38,31.04,0.3967
2014,Europe,Polar,14.55,86824477.81,5299.86,7581.0,89.11,36.38,0.535
2024,South America,Arid,6.04,714405021.78,5198.74,5307.17,77.92,28.12,0.6283
2021,North America,Arid,-0.39,197038047.41,9247.33,7043.82,94.01,25.94,0.9219
2014,Asia,Tropical,5.47,690385278.83,5513.38,2608.56,29.81,49.62,0.1787
2023,Asia,Cold,38.75,390986069.6,5850.83,9419.63,85.27,19.03,0.2956
2010,North America,Cold,10.56,416359026.19,4046.45,5305.58,72.1,51.11,0.9758
2015,South America,Polar,12.24,469708318.6,9493.34,8314.93,88.28,65.78,0.3712
2016,Africa,Tropical,18.83,368340799.62,7783.0,3656.81,81.72,41.74,0.0226
2003,North America,Cold,39.17,101519357.25,2889.78,1011.11,41.18,44.74,0.1476
2000,South America,Tropical,2.08,310322178.19,8449.89,6740.38,79.7,9.48,0.0263
2007,North America,Tropical,24.06,664070626.33,4352.34,87.52,33.62,61.19,0.9899
2016,North America,Polar,25.8,666118617.07,8295.24,4758.18,39.57,23.55,0.2789
2002,Europe,Tropical,20.37,286938082.93,8237.74,1936.09,19.71,44.98,0.9235
2019,South America,Arid,-5.57,460642523.93,1929.26,6277.48,94.16,68.64,0.9959
2014,Africa,Arid,23.84,194253780.78,7026.35,9794.4,36.19,43.71,0.5998
2014,Europe,Temperate,-6.8,211161709.45,2941.9,4649.39,56.86,52.11,0.0332
2023,North America,Polar,19.81,24024041.32,3010.05,8176.81,45.22,33.95,0.0816
2021,North America,Temperate,26.98,896849803.36,2998.66,5082.76,96.39,8.92,0.4816
2013,North America,Arid,0.55,211495958.41,7269.4,4963.44,40.15,56.84,0.4062
2022,South America,Temperate,32.08,228306343.06,2336.77,9304.93,80.07,7.27,0.6062
2013,South America,Polar,-8.48,280321831.21,59.01,8900.76,86.99,50.54,0.4388
2023,Europe,Polar,32.19,128280663.62,7166.61,7860.15,49.2,6.49,0.9341
2001,Africa,Tropical,13.02,639623620.3,1753.29,2969.59,44.04,61.05,0.5347
2012,Europe,Cold,0.88,76067810.22,1089.6,5454.63,77.3,15.25,0.6937
2013,Asia,Tropical,-3.31,135068223.9,2413.29,2246.73,92.16,38.43,0.8965
2023,North America,Polar,37.67,645111969.86,3830.01,4444.73,77.94,43.81,0.1469
2018,North America,Arid,-6.37,340320959.86,4785.27,4847.29,30.44,34.74,0.2297
2006,North America,Arid,-0.05,708239878.87,493.47,8318.08,89.95,27.15,0.1073
2002,Europe,Tropical,7.39,557867319.93,9707.2,8961.32,44.88,35.41,0.1396
2014,Europe,Polar,21.01,256765151.89,7174.83,4152.05,61.86,25.24,0.5126
2022,North America,Arid,17.24,651177122.54,3265.78,186.87,84.83,33.48,0.3212
2013,Europe,Polar,-3.72,117157406.61,3221.04,8619.12,26.96,28.33,0.4232
